#time,Andrea:member_47,Tony:member_48,Freddie:member_1057,Betty:member_1067,
20053083,55,55,56,259,
20053084,55,55,56,259,
20053085,55,55,56,259,
20053086,55,55,56,259,
20053087,55,55,56,259,
20053088,55,55,56,56,
20053089,55,55,56,56,
20053090,55,55,56,56,
20053091,55,55,56,56,
20053092,55,55,56,56,
20053093,55,55,56,56,
20053094,55,55,56,56,
20053095,55,55,56,56,
20053096,55,55,56,56,
20053097,55,55,56,56,
20053098,55,55,56,56,
20053099,55,55,56,56,
20053100,55,55,56,56,
20053101,55,55,56,56,
20053102,55,55,56,56,
20053103,55,55,56,56,
20053104,55,55,56,56,
20053105,55,55,56,56,
20053106,55,55,56,56,
20053107,55,55,56,56,
20053108,55,55,56,56,
20053109,55,55,56,56,
20053110,55,55,56,56,
20053111,55,55,56,56,
20053112,55,55,56,56,
20053113,55,55,56,56,
20053114,55,55,56,56,
20053115,55,55,56,56,
20053116,55,55,56,56,
20053117,55,55,56,56,
20053118,55,55,56,56,
20053119,55,55,56,56,
20053120,55,55,56,56,
20053121,55,55,56,56,
20053122,55,55,56,56,
20053123,55,55,56,259,
20053124,55,55,56,259,
20053125,55,55,56,259,
20053126,55,55,56,259,
20053127,55,55,56,56,
20053128,55,55,56,56,
20053129,55,55,56,56,
20053130,55,55,56,56,
20053131,55,55,56,56,
20053132,55,55,56,56,
20053133,55,55,56,259,
20053134,55,55,56,259,
20053135,55,55,56,56,
20053136,55,55,56,56,
20053137,55,55,56,56,
20053138,55,55,56,56,
20053139,55,55,56,56,
20053140,55,55,56,56,
20053141,55,55,56,56,
20053142,55,55,56,56,
20053143,55,55,56,259,
20053144,55,55,56,259,
20053145,55,55,56,56,
20053146,55,55,56,56,
20053147,55,55,56,56,
20053148,55,55,56,56,
20053149,55,55,56,56,
20053150,55,55,56,56,
20053151,55,55,56,56,
20053152,55,55,56,56,
20053153,55,55,56,259,
20053154,55,55,56,259,
20053155,55,55,56,259,
20053156,55,55,56,259,
20053157,55,55,56,259,
20053158,55,55,56,56,
20053159,55,55,56,56,
20053160,55,55,56,56,
20053161,55,55,56,56,
20053162,55,55,56,56,
20053163,55,55,56,259,
20053164,55,55,56,259,
20053165,55,55,56,56,
20053166,55,55,56,56,
20053167,55,55,56,56,
20053168,55,55,56,56,
20053169,55,55,56,56,
20053170,55,55,56,56,
20053171,55,55,56,56,
20053172,55,55,56,56,
20053173,55,55,56,56,
20053174,55,55,56,56,
20053175,55,55,56,56,
20053176,55,55,56,56,
20053177,55,55,56,56,
20053178,55,55,56,56,
20053179,55,55,56,56,
20053180,55,55,56,56,
20053181,55,55,56,56,
20053182,55,55,56,56,
20053183,55,55,56,56,
20053184,55,55,56,56,
20053185,55,55,56,56,
20053186,55,55,56,56,
20053187,55,55,56,56,
20053188,55,55,56,56,
20053189,55,55,56,56,
20053190,55,55,56,56,
20053191,55,55,56,56,
20053192,55,55,56,56,
20053193,55,55,56,56,
20053194,55,55,56,56,
20053195,55,55,56,56,
20053196,55,55,56,56,
20053197,55,55,56,56,
20053198,55,55,56,56,
20053199,55,55,56,56,
20053200,55,55,56,56,
20053201,55,55,56,56,
20053202,55,55,56,56,
20053203,55,55,56,259,
20053204,55,55,56,259,
20053205,55,55,56,56,
20053206,55,55,56,56,
20053207,55,55,56,56,
20053208,55,55,56,56,
20053209,55,55,56,56,
20053210,55,55,56,56,
20053211,55,55,56,56,
20053212,55,55,56,56,
20053213,55,55,56,259,
20053214,55,55,56,259,
20053215,55,55,56,56,
20053216,55,55,56,56,
20053217,55,55,56,56,
20053218,55,55,56,56,
20053219,55,55,56,56,
20053220,55,55,56,56,
20053221,55,55,56,56,
20053222,55,55,56,56,
20053223,55,55,56,259,
20053224,55,55,56,259,
20053225,55,55,56,56,
20053226,55,55,56,56,
20053227,55,55,56,56,
20053228,55,55,56,56,
20053229,55,55,56,56,
20053230,55,55,56,56,
20053231,55,55,56,56,
20053232,55,55,56,56,
20053233,55,55,56,56,
20053234,55,55,56,56,
20053235,55,55,56,56,
20053236,55,55,56,56,
20053237,55,55,56,56,
20053238,55,55,56,56,
20053239,55,55,56,56,
20053240,55,55,56,56,
20053241,55,55,56,56,
20053242,55,55,56,56,
20053243,55,55,56,56,
20053244,55,55,56,56,
20053245,55,55,56,56,
20053246,55,55,56,56,
20053247,55,55,56,56,
20053248,55,55,56,56,
20053249,55,55,56,56,
20053250,55,55,56,56,
20053251,55,55,56,56,
20053252,55,55,56,56,
20053253,55,55,56,56,
20053254,55,55,56,56,
20053255,55,55,56,56,
20053256,55,55,56,56,
20053257,55,55,56,56,
20053258,55,55,56,56,
20053259,55,55,56,56,
20053260,55,55,56,56,
20053261,55,55,56,56,
20053262,55,55,56,56,
20053263,55,55,56,56,
20053264,55,55,56,56,
20053265,55,55,56,56,
20053266,55,55,56,56,
20053267,55,55,56,56,
20053268,55,55,56,56,
20053269,55,55,56,56,
20053270,55,55,56,56,
20053271,55,55,56,56,
20053272,55,55,56,56,
20053273,55,55,56,259,
20053274,55,55,56,259,
20053275,55,55,56,56,
20053276,55,55,56,56,
20053277,55,55,56,56,
20053278,55,55,56,56,
20053279,55,55,56,56,
20053280,55,55,56,56,
20053281,55,55,56,56,
20053282,55,55,56,56,
20053283,55,55,56,56,
20053284,55,55,56,56,
20053285,55,55,56,56,
20053286,55,55,56,56,
20053287,55,55,56,56,
20053288,55,55,56,56,
20053289,55,55,56,56,
20053290,55,55,56,56,
20053291,55,55,56,56,
20053292,55,55,56,56,
20053293,55,55,56,259,
20053294,55,55,56,259,
20053295,55,55,56,259,
20053296,55,55,56,259,
20053297,55,55,56,56,
20053298,55,55,56,56,
20053299,55,55,56,56,
20053300,55,55,56,56,
20053301,55,55,56,56,
20053302,55,55,56,56,
20053303,55,55,56,56,
20053304,55,55,56,56,
20053305,55,55,56,56,
20053306,55,55,56,56,
20053307,55,55,56,56,
20053308,55,55,56,56,
20053309,55,55,56,56,
20053310,55,55,56,56,
20053311,55,55,56,56,
20053312,55,55,56,56,
20053313,55,55,56,56,
20053314,55,55,56,56,
20053315,55,55,56,56,
20053316,55,55,56,56,
20053317,55,55,56,56,
20053318,55,55,56,56,
20053319,55,55,56,56,
20053320,55,55,56,56,
20053321,55,55,56,56,
20053322,55,55,56,56,
20053323,55,55,56,56,
20053324,55,55,56,56,
20053325,55,55,56,56,
20053326,55,55,56,56,
20053327,55,55,56,56,
20053328,55,55,56,56,
20053329,55,55,56,56,
20053330,55,55,56,56,
20053331,55,55,56,56,
20053332,55,55,56,56,
20053333,55,55,56,56,
20053334,55,55,56,56,
20053335,55,55,56,56,
20053336,55,55,56,56,
20053337,55,55,56,56,
20053338,55,55,56,56,
20053339,55,55,56,56,
20053340,55,55,56,56,
20053341,55,55,56,56,
20053342,55,55,56,56,
20053343,55,55,56,259,
20053344,55,55,56,259,
20053345,55,55,56,259,
20053346,55,55,56,259,
20053347,55,55,56,56,
20053348,55,55,56,56,
20053349,55,55,56,56,
20053350,55,55,56,56,
20053351,55,55,56,56,
20053352,55,55,56,56,
20053353,55,55,56,56,
20053354,55,55,56,56,
20053355,55,55,56,56,
20053356,55,55,56,56,
20053357,55,55,56,56,
20053358,55,55,56,56,
20053359,55,55,56,56,
20053360,55,55,56,56,
20053361,55,55,56,56,
20053362,55,55,56,56,
20053363,55,55,56,259,
20053364,55,55,56,259,
20053365,55,55,56,259,
20053366,55,55,56,259,
20053367,55,55,56,56,
20053368,55,55,56,56,
20053369,55,55,56,56,
20053370,55,55,56,56,
20053371,55,55,56,56,
20053372,55,55,56,56,
20053373,55,55,56,259,
20053374,55,55,56,259,
20053375,55,55,56,56,
20053376,55,55,56,56,
20053377,55,55,56,56,
20053378,55,55,56,56,
20053379,55,55,56,56,
20053380,55,55,56,56,
20053381,55,55,56,56,
20053382,55,55,56,56,
20053383,55,55,56,56,
20053384,55,55,56,56,
20053385,55,55,56,56,
20053386,55,55,56,56,
20053387,55,55,56,56,
20053388,55,55,56,56,
20053389,55,55,56,56,
20053390,55,55,56,56,
20053391,55,55,56,56,
20053392,55,55,56,56,
20053393,55,55,56,56,
20053394,55,55,56,56,
20053395,55,55,56,56,
20053396,55,55,56,56,
20053397,55,55,56,56,
20053398,55,55,56,56,
20053399,55,55,56,56,
20053400,55,55,56,56,
20053401,55,55,56,56,
20053402,55,55,56,56,
20053403,55,55,56,56,
20053404,55,55,56,56,
20053405,55,55,56,56,
20053406,55,55,56,56,
20053407,55,55,56,56,
20053408,55,55,56,56,
20053409,55,55,56,56,
20053410,55,55,56,56,
20053411,55,55,56,56,
20053412,55,55,56,56,
20053413,55,55,56,56,
20053414,55,55,56,56,
20053415,55,55,56,56,
20053416,55,55,56,56,
20053417,55,55,56,56,
20053418,55,55,56,56,
20053419,55,55,56,56,
20053420,55,55,56,56,
20053421,55,55,56,56,
20053422,55,55,56,56,
20053423,55,55,56,56,
20053424,55,55,56,56,
20053425,55,55,56,56,
20053426,55,55,56,56,
20053427,55,55,56,56,
20053428,55,55,56,56,
20053429,55,55,56,56,
20053430,55,55,56,56,
20053431,55,55,56,56,
20053432,55,55,56,56,
20053433,55,55,56,56,
20053434,55,55,56,56,
20053435,55,55,56,56,
20053436,55,55,56,56,
20053437,55,55,56,56,
20053438,55,55,56,56,
20053439,55,55,56,56,
20053440,55,55,56,56,
20053441,55,55,56,56,
