Time	Energy 	Sigma 	Initial_temperature 	Density_of_water 	Depth_of_mixed_layer 	Specific_heat_of_water 	Heat_capacity 	Temperature 	Seconds_per_year 	Solar_constant 	Albedo 	Solar 	IR 	T_Celsius 	
Years	Stock 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Converter 	Flow 	Flow 	Converter 	
0 	 10 	 0.1
4.9 	53956126414.824 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.83748892757 	31536000 	1367 	0.3 	7544199600 	7659770573.7423 	-17.312511072433
5 	53944569317.45 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.78268998317 	31536000 	1367 	0.3 	7544199600 	7653209963.6996 	-17.367310016835
5.1 	53933668281.08 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.73100180692 	31536000 	1367 	0.3 	7544199600 	7647025642.5608 	-17.418998193079
5.2 	53923385676.824 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.6822459783 	31536000 	1367 	0.3 	7544199600 	7641195603.0433 	-17.4677540217
5.3 	53913686076.519 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.63625451171 	31536000 	1367 	0.3 	7544199600 	7635699171.6287 	-17.513745488292
5.4 	53904536119.356 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.59286922407 	31536000 	1367 	0.3 	7544199600 	7630516922.6386 	-17.55713077593
5.5 	53895904387.092 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.55194114316 	31536000 	1367 	0.3 	7544199600 	7625630598.3921 	-17.59805885684
5.6 	53887761287.253 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.51332995378 	31536000 	1367 	0.3 	7544199600 	7621023034.9573 	-17.636670046215
5.7 	53880078943.757 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.47690347917 	31536000 	1367 	0.3 	7544199600 	7616678093.0554 	-17.673096520827
5.8 	53872831094.452 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.44253719513 	31536000 	1367 	0.3 	7544199600 	7612580593.7132 	-17.707462804875
5.9 	53865992995.081 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.41011377468 	31536000 	1367 	0.3 	7544199600 	7608716258.2996 	-17.739886225317
6 	53859541329.251 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.37952266122 	31536000 	1367 	0.3 	7544199600 	7605071652.6092 	-17.770477338783
6.1 	53853454123.99 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.35065966804 	31536000 	1367 	0.3 	7544199600 	7601634134.6903 	-17.799340331959
6.2 	53847710670.521 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.32342660275 	31536000 	1367 	0.3 	7544199600 	7598391806.1363 	-17.826573397246
6.3 	53842291449.907 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.29773091469 	31536000 	1367 	0.3 	7544199600 	7595333466.5864 	-17.852269085315
6.4 	53837178063.248 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.27348536391 	31536000 	1367 	0.3 	7544199600 	7592448571.2012 	-17.876514636091
6.5 	53832353166.128 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.25060771042 	31536000 	1367 	0.3 	7544199600 	7589727190.8984 	-17.899392289576
6.6 	53827800407.038 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.22902042218 	31536000 	1367 	0.3 	7544199600 	7587159975.1518 	-17.920979577817
6.7 	53823504369.523 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.20865040077 	31536000 	1367 	0.3 	7544199600 	7584738117.1725 	-17.941349599226
6.8 	53819450517.806 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.18942872359 	31536000 	1367 	0.3 	7544199600 	7582453321.3051 	-17.960571276406
6.9 	53815625145.676 	5.6696e-008 	273.15 	1000 	50 	4218 	210900000 	255.1712904015 	31536000 	1367 	0.3 	7544199600 	7580297772.4849 	-17.978709598504
